Data source name,Variable Id,Standard Variable Name,Long Variable Name,Unit,Missing Value/FillValue,Value Max,Value Min,Calendar,Cell Method,Scale Factor,Temporal Coverage,Data freshness,Geographic coverage polygon,Geographic coverage name,Spatial Resolution,CKAN resource id
ECMWF ERA 20C,sp,surface_air_pressure,Surface pressure,,,,,,,,2010-12-01T12:00:00/2010-12-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,510e7747-e445-41b4-aeda-977a701642b5
ECMWF ERA 20C,tcc,cloud_area_fraction,Total cloud cover,,,,,,,,2010-12-01T12:00:00/2010-12-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,510e7747-e445-41b4-aeda-977a701642b6
ECMWF ERA 20C,al,surface_albedo,Albedo,,,,,,,,2010-12-01T12:00:00/2010-12-31T12:00:00,,"Polygon ((12.0 24.0, 12.0 32.0, 3.0 32.0, 3.0 24.0, 12.0 24.0 ))",South Sudan,,510e7747-e445-41b4-aeda-977a701642b7
FLDAS_NOAH01,Wind_f_tavg,wind_speed,wind speed,m s-1,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,time_bnds,time,time,days since 2001-01-01 00:00:00,,,,standard,,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Tair_f_tavg,air_temperature,air temperature,K,-9999,333,213,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Swnet_tavg,surface_net_downward_shortwave_flux,net downward shortwave radiation,W m-2,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,SWdown_f_tavg,surface_downwelling_shortwave_flux_in_air,surface downward shortwave radiation,W m-2,-9999,1360,0,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,SoilTemp40_100cm_tavg,soil_temperature,soil temperature,K,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,SoilMoi40_100cm_tavg,soil_moisture_content,soil moisture content,m^3 m-3,-9999,1.00E+15,-1.00E+15,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,SM01_Percentile,soil moisture percentiles,soil moisture percentiles,percentile,-9999,,,,time:mean,100,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
FLDAS_NOAH01,Rainf_f_tavg,rainfall_flux,rainfall flux,kg m-2 s-1,-9999,0.02,0,,time:mean,,2001-01-30T00:00:00/2001-01-30T23:59:59,,"Polygon ((23.0 22.0, 23.0 51.4, -11.8 51.4, -11.8 22.0, 23.0 22.0))",East Africa,,0be281f0-8236-423e-8e54-49411ec41567
